English,Thai,Classifier,Type,,,,,
tenant,ผู้เช่า,คน,N,,,,,
author (of a work),ผู้แต่ง,คน,N,,,,,
guardian,ผู้ปกครอง,คน,N,,,,,
"producer, manufacturer, maker",ผู้ผลิต,คน,N,,,,,
judge,ผู้พิพากษา,คน,N,,,,,
"girl, woman",ผู้หญิง,คน,N,,,,,
adult,ผู้ใหญ่,คน,N,,,,,
to be hot (peppery),เผ็ด,,Adj,,,,,
to burn something,เผา,,V,,,,,
to cremate a corpse,เผาศพ,,V,,,,,
taro,เผือก,หัว,N,,,,,
in case,เผื่อว่า,,Conj,,,,,
"classifier for map, picture, paper, sheet-like",แผ่น,,N,,,,,
department,แผนก,แผนก,N,,,,,
"land, territory, country",แผ่นดิน,ผืน,N,,,,,
map,แผนที่,ใบ,N,,,,,
"cut, wound, or sore",แผล,ที่,N,,,,,
rain,ฝน,เม็ด,N,,,,,
"European, American, Australian, etc., Occidental",ฝรั่ง,คน,N,,,,,
"France, French ",ฝรั่งเศส ,,N,,,,,
"to bury, inter",ฝัง,,V,,,,,
"bank (of a river, street), side (canal, sea)",ฝั่ง,,N,,,,,
lid,ฝา,ฝา,N,,,,,
"deposit, entrust, leave with somebody parts ",ฝาก,,V,,,,,
deposit money (in the bank),ฝากเงิน,,V,,,,,
wall (of a room or house),ฝาผนัง,"ด้าน, ที่",N,,,,,
"side, party, sector",ฝ่าย,ฝ่าย,N,,,,,
cotton,ฝ้าย,,N,,,,,
opium,ฝิ่น,"ดอก, ต้น",N,,,,,
"abscess, boil, pock",ฝี,ก้อน,N,,,,,
"manual skill, craftsmanship",ฝีมือ,,N,,,,,
"to practise, exercise, train",ฝึก,,V,,,,,
"practice, drill, train",ฝึกหัด,,V,,,,,
"to guard, watch, keep an eye on",เฝ้า,,V,,,,,
mole,ไฝ,เม์ด,N,,,,,
Buddhist era (abbreviation of พุทธศักราช),พ.ศ.,,N,,,,,
to carry (on one's person),พก,,V,,,,,
dictionary,พจนานุกรม,เล่ม,N,,,,,
to spray,พ่น,,V,,,,,
waiter,พนักงานเสิร์ฟ,คน,N,,,,,
"meet, run into (someone)",พบ,,V,,,,,
to meet or see each other,พบ … กัน,,V,,,,,
to meet each other,พบกัน,,V,,,,,
"Burma, Burmese ",พม่า ,,N,,,,,
consonant,พยัญชนะ,ตัว,N,,,,,
syllable,พยางค์,ตัว,N,,,,,
worms (intestinal),พยาธิ,ตัว,N,,,,,
witness,พยาน,คน,N,,,,,
"nurse, to tend, to nurse",พยาบาล,คน,N,,,,,
"to try, make an attempt",พยายาม,,V,,,,,
rug,พรม,ผืน,N,,,,,
"ready, set, completed",พร้อม,,Adv,,,,,
"together, at the same time, altogether",พร้อมกัน,,Adv,,,,,
"leading actor, hero; monk, abbot, Buddha image",พระ,รูป,N,,,,,
moon,พระจันทร์,ดวง,N,,,,,
Buddha image,พระพุทธรูป,องค์,N,,,,,
sun,พระอาทิตย์,ดวง,N,,,,,
"chili peppers, chilies",พริก,เม๊ด,N,,,,,
pepper,พริกไทย,เม็ด,N,,,,,
tomorrow,พรุ่งนี้,,N,,,,,
tomorrow morning,พรุ่งนี้เช้า,,N,,,,,
November,พฤศจิกายน,,N,,,,,
May,พฤษภาคม,,N,,,,,
"precious stones, such as sapphires, rubies, etc.",พลอย,เม็ด,N,,,,,
energy,พลังงาน,,N,,,,,
plastic,พลาสติก,,N,,,,,
"band-aid, plaster",พลาสเตอร์,แผ่น,N,,,,,
"of people, animals, numerical classifier for group",พวก,,Prefix,,,,,
"they, them",พวกเขา,คน,Pronoun,,,,,
"themselves, ourselves",พวกเขาเอง,คน,Personal Pronoun,,,,,
these people,พวกนี้,คน,N,,,,,
"we, they, us, them, all of us",พวกเรา,คน,N,,,,,
"enough, sufficient",พอ,,Adj,,,,,
father,พ่อ,คน,N,,,,,
"adequate, fair",พอ + verb + ได้ ,,Adj,,,,,
merchant,พ่อค้า,คน,N,,,,,
to be satisfied,พอใจ,,Adj,,,,,
"good enough to use, passable",พอใช้ได้,,Adj,,,,,
just right,พอดี,,Adj,,,,,
father-in-law (wife's father),พ่อตา,คน,N,,,,,
godfather,พ่อทูนหัว,คน,N,,,,,
widower,พ่อม่าย,คน,N,,,,,
parents,พ่อแม่,คน,N,,,,,
stepfather,พ่อเลี้ยง,คน,N,,,,,
"stay at, to stop at (hotel, etc.)",พัก,,V,,,,,
to rest ,พักผ่อน,,V,,,,,
to take a vacation,พักร้อน,,V,,,,,
"to develop, to progress",พัฒนา,,V,,,,,
to blow (as the wind),พัด,,V,,,,,
electric fan,พัดลม,เครื่อง,N,,,,,
thousand (1000),พัน,,N,,,,,
parcel,พัสดุ,ชิ้น,N,,,,,
to take someone somewhere,พา,,V,,,,,
offering tray,พาน,"พาน, ใบ",N,,,,,
"to take a person to a place they don’t know, to the movies, your home, etc",พาไป,,V,,,,,
"paddle, pie",พาย,"อัน, ชั้น",V,,,,,
storm,พายุ,,N,,,,,
passport (loanword),พาสปอร์ต,เล่ม,N,,,,,
transportation,พาหนะ,คัน,N,,,,,
to lean ,พิง,,V,,,,,
"to consider, inquire, meditate",พิจารณา,,V,,,,,
"ceremony, rite, custom, ritual",พิธี,,N,,,,,
museum,พิพิธภัณฑ์,แห่ง,N,,,,,
to print,พิมพ์,,V,,,,,
"to type, print ",พิมพ์ดีด,เครื่อง,V,,,,,
"special, extraordinary ",พิเศษ,,Adj,,,,,
"poison, toxicity, toxicant",พิษ,,N,,,,,
"older (he, she, you)",พี่,คน,N,,,,,
brother-in-law,พี่เขย,คน,N,,,,,
older brother,พี่ชาย,คน,N,,,,,
siblings,พี่น้อง,คน,N,,,,,
sister-in-law,พี่สะใภ้,คน,N,,,,,
older sister,พี่สาว,คน,N,,,,,
"vegetation, plant",พืช,ต้น,N,,,,,
floor,พื้น,"แห่ง, ที่",N,,,,,
"base, bottom",พื้นฐาน,,N,,,,,
paunch,พุง,พุง,N,,,,,
"to speak, talk, say",พูด,,V,,,,,
to joke,พูดเล่น,,V,,,,,
to say that,พูดว่า,,V,,,,,
diamond,เพชร,เม็ด,N,,,,,
ceiling,เพดาน,"แห่ง, ที่",N,,,,,
because,เพราะ (ว่า),,Conj,,,,,
"song, songs (more common in place of music)",เพลง,เพลง,N,,,,,
"gender, sex",เพศ,เพศ,N,,,,,
just now,เพิ่ง,,Adv,,,,,
to increase,เพิ่ม,,V,,,,,
increase,เพิ่มขึ้น,,V,,,,,
"in addition, more, extra; to add, increase; to be additional, added",เพิ่มเติม,,V,,,,,
"just as much as, only",เพียง,,Adv,,,,,
"enough, sufficiently, adequately",เพียงพอ,,Adv,,,,,
just (immediately before),เพึ่ง,,Adv,,,,,
"for, in order that, so",เพื่อ,,Conj,,,,,
"in order to, in order that",เพื่อที่จะ,,Conj,,,,,
friend,เพื่อน,คน,N,,,,,
in order that,เพื่อว่า,,Conj,,,,,
"to lose to someone (as in a game), allergic to, sensitive to",แพ้,,V,,,,,
expensive,แพง,,Adj,,,,,
goat,แพะ,ตัว,N,,,,,
cards (playing),ไพ่,ใบ,N,,,,,
"free, no charge",ฟรี,,Adj,,,,,
"accuse, charge, sue",ฟ้อง,,V,,,,,
sponge,ฟองน้ำ,อัน,N,,,,,
pumpkin,ฟักทอง,ลูก,N,,,,,
to listen,ฟัง,,V,,,,,
to listen to music,ฟังเพลง,,V,,,,,
tooth,ฟัน,ซี่,N,,,,,
sky,ฟ้า,แห่ง,N,,,,,
straw,ฟาง,เส้น,N,,,,,
Finland,ฟินแลนด์,,N,,,,,
"film, photographic film",ฟิล์ม,ม้วน,N,,,,,
Philippines,ฟิลิปปินส์,,N,,,,,
foot (English system) (loanword),ฟุต,,N,,,,,
"boyfriend, girlfriend, husband, wife",แฟน,คน,N,,,,,
detergent,แฟ้บ,"ถุง, ช้อบ",N,,,,,
file,แฟ้มข้อมูล,แฟ้ม,N,,,,,
"fire, electric light, electricity",ไฟ,ดวง,N,,,,,
traffic light (informal),ไฟเขียว,ดวง,N,,,,,
flashlight,ไฟฉาย,กระบอก,N,,,,,
traffic light,ไฟแดง ,ดวง,N,,,,,
electricity,ไฟฟ้า,,N,,,,,
"wife (formal, polite)",ภรรยา,คน,N,,,,,
wife (elegant term),ภริยา,คน,N,,,,,
restaurant (large),ภัตตาคาร,แห่ง,N,,,,,
"section, portion, part, region",ภาค,,N,,,,,
southern region,ภาคใต้,,N,,,,,
north,ภาคเหนือ,,N,,,,,
northeastern region,ภาคอีสาน,,N,,,,,
"picture, image, vision",ภาพ,"ภาผ, รูป",N,,,,,
movie,ภาพยนต์,เรื่ง,N,,,,,
external,ภายนอก,,"Adj, Adv",,,,,
within,ภายใน,,"Adj, Adv",,,,,
domestic,ภายในประเทศ,,"Adj, Adv",,,,,
"afterwards, later on",ภายหลัง,,Conj,,,,,
"condition, state, situation",ภาวะ,,N,,,,,
"language, speech",ภาษา,ภาษา,N,,,,,
Thai language,ภาษาไทย,,N,,,,,
English language,ภาษาอังกฤษ,,N,,,,,
tax,ภาษี,แบบ,N,,,,,
mountains,ภูเขา,ลูก,N,,,,,
proud,ภูมิใจ,,Adj,,,,,
geography,ภูมิศาสตร์,,N,,,,,
pharmacist (informal),เภสัช,คน,N,,,,,
January,มกราคม,เดือน,N,,,,,
ants,มด,ตัว,N,,,,,
"human being, man, human, homo sapiens",มนุษย์,"มนุษย์, คน",N,,,,,
monsoon,มรสุม,,N,,,,,
Malaya ,มลายู ,,N,,,,,
purple,ม่วง,,"N, adj",,,,,
"classifier for cigarettes, cigars",มวน,,"N, Class",,,,,
university,มหาวิทยาลัย,แห่ง,N,,,,,
ocean,มหาสมุทร,แห่ง,N,,,,,
to look at,มอง,,V,,,,,
look at closely,มองดู,,V,,,,,
"to look for, look around for",มองหา,,V,,,,,
to be able to see,มองเห็น,,V,,,,,
motorcycle,มอเตอร์ไซค์,ค้น,N,,,,,
tamarind,มะขาม,ฝัก,N,,,,,
tomato-eggplant family of vegetables,มะเขือ,ลูก,N,,,,,
tomato,มะเขือเทศ,"ใม, ผล",N,,,,,
limes,มะนาว,ลูก,N,,,,,
coconut,มะพร้าว,ลูก,N,,,,,
mango (fruit),มะม่วง,"ใบ, ลูก",N,,,,,
day after tomorrow,มะรืนนี้,,N,,,,,
cancer,มะเร็ง,,N,,,,,
papaya (fruit),มะละกอ,"ใบ, ลูก",N,,,,,
"usually, likely to",มักจะ,,Adv,,,,,
mangosteen ,มังคุด,"ใบ, ลูก, ผล",N,,,,,
to deposit,มัดจำ,,V,,,,,
high school (level),มัธยม,,N,,,,,
it,มัน,,Pronoun,,,,,
"to be secure, be stable, be firm",มั่นคง,,Adj,,,,,
to have confidence,มั่นใจ,,Adj,,,,,
"fried potatoes, potato chips",มันทอด,ชิ้น,N,,,,,
yam,มันเทศ,หัว,N,,,,,
potato,มันฝรั่ง,หัว,N,,,,,
mustard (loanword),มัสตาร์ด,"ช้อน, ขวด",N,,,,,
to come,มา,,V,,,,,
horse,ม้า,ตัว,N,,,,,
"very, a lot, to look at, many",มาก,,Adj,,,,,
more (than something else),มากกว่า,,Adj,,,,,
to increase,มากขึ้น,,Adj,,,,,
"a lot, many, several",มากมาย,,Adj,,,,,
"in the past, before",มาก่อน,,Adv,,,,,
to come from,มาจาก,,V,,,,,
"standard, criterion",มาตรฐาน,,N,,,,,
"to arrive,  reach at",มาถึง,,V,,,,,
arrive (towards the speaker),มาถึง,,V,,,,,
visit a place,มาเที่ยว,,V,,,,,
curtain,ม่าน,ผืน,N,,,,,
for a long time,มานาน,,V,,,,,
to come visit a person,มาเยี่ยม ,,V,,,,,
"manners, behaviour",มารยาท,,N,,,,,
to come and pick up,มารับ,,V ,,,,,
malaria,มาลาเรีย,,N,,,,,
Malaysia,มาเลเซีย,,N,,,,,
to come to see someone,มาหา,,V,,,,,
June,มิถุนายน,เดือบ,N,,,,,
to have,มี,,V,,,,,
someone,มีคน,,N,,,,,
happy,มีความสุข,,Adj,,,,,
valuable,มีค่า,,Adj,,,,,
famous,มีชื่อเสียง,,Adj,,,,,
knife,มีด,ด้าม,N,,,,,
razor,มีดโกน,ใบ,N,,,,,
to have only ...,มีแต่,,V,,,,,
to be pregnant,มีท้อง ,,V,,,,,
"busy, business",มีธุระ,,Adj,,,,,
"have a date, appointment",มีนัด,,V,,,,,
March,มีนาคม,เดือน,N,,,,,
to be generous,มีน้ำใจ,,Adj,,,,,
cost,มีราคา,,Adj,,,,,
to have a baby,มีลูก,,Adj,,,,,
dark,มืด,,Adj,,,,,
hand,มือ,มือ,N,,,,,
right hand,มือขวา,,N,,,,,
mobile phone,มือถือ,เครื่อง,N,,,,,
secondhand,มือสอง,,N,,,,,
beginnner,มือใหม่,คน,N,,,,,
mosquito net,มุ้ง,หลัง,N,,,,,
"screen (for window, etc.)",มุ้งลวด,หลัง,N,,,,,
corner,มุม,มุม,N,,,,,
clouds,เมฆ,ก้อน,N,,,,,
"seed, grain, pill; classifier for small, round objects",เม็ด,เม็ด,N,,,,,
meter (metric system),เมตร,,N,,,,,
menu,เมนู,ใบ,N,,,,,
seed,เมล็ด,เมล็ด,N,,,,,
April,เมษายน,เดือน,N,,,,,
"to be drunk, inebriated",เมา,,Adj,,,,,
mouse (loanword),เมาส์,ตัว,N,,,,,
to be drunk,เมาเหล้า,,Adj,,,,,
"wife, a long-term girlfriend  (informal)",เมีย,คน,N,,,,,
minor wife ,เมียน้อย,คน,N,,,,,
major wife (infers having a minor wife),เมียหลวง,คน,N,,,,,
"past time, when",เมื่อ,,Conj,,,,,
formerly,เมื่อก่อน,,Adv,,,,,
short time ago,เมื่อกี้,,Adv,,,,,
"a moment ago, just now, short time ago",เมื่อกี้นี้,,Adv,,,,,
last night,เมื่อคืน,,Adv,,,,,
last night,เมื่อคืนนี้,,Adv,,,,,
"city, town, country (nation)",เมือง ,เมีอง,N,,,,,
Thailand (informal),เมืองไทย,เมือง ,N,,,,,
"foreign countries, abroad",เมืองนอก,"เมือง, แห่ง",N,,,,,
"capital city, city, town, nation",เมืองหลวง,"เมือง, แห่ง",N,,,,,
this morning,เมื่อเช้านี้,,Adv,,,,,
just now,เมื่อตะกี้,,Adv,,,,,
when (question word),เมื่อไร,,Adv,,,,,
yesterday,เมื่อวาน (นี้),,Adv,,,,,
day before yesterday,เมื่อวานซืนนี้,,Adv,,,,,
when (question word),เมื่อไหร่,,Conj,,,,,
mother,แม่,คน,N,,,,,
female cook,แม่ครัว,คน,N,,,,,
salesperson (female),แม่ค้า,คน,N,,,,,
nun,แม่ชี,คน,N,,,,,
river,แม่น้ำ,สาย,N,,,,,
housekeeper (female),แม่บ้าน,คน,N,,,,,
widow,แม่ม่าย,คน,N,,,,,
mother-in-law ,แม่ยาย,คน,N,,,,,
"insect, bug, beetle",แมลง,ตัว,N,,,,,
fly,แมลงวัน,ตัว,N,,,,,
cockroach,แมลงสาบ,ตัว,N,,,,,
cat,แมว,ตัว,N,,,,,
"although, though",แม้ว่า,,Conj,,,,,
"o'clock, time",โมง,,N,,,,,
"furious, angry (suddenly or violently), bad tempered",โมโห,,Adj,,,,,
"no, not",ไม่,,"V, Aux",,,,,
"wood, food on sticks",ไม้,แผ่น,N,,,,,
very (not),ไม่ ... เท่าไร,,Adj,,,,,
not ... at all (phrase),ไม่ ... เลย,,Adv,,,,,
broom,ไม้กวาด,ด้าม,N,,,,,
"unrelated, irrelevant",ไม่เกี่ยว,,Adj,,,,,
matches,ไม้ขีด,ก้าน,N,,,,,
coat hanger,ไม้แขวนเสื้อ,อัน,N,,,,,
"not very, hardly",ไม่ค่อย (จะ),,Adv,,,,,
never,ไม่เคย,,Adv,,,,,
toothpick,ไม้จิ้มฟัน,อัน,N,,,,,
to be displeased,ไม่ชอบ,,V,,,,,
"it is not so, it is not the one (meant), negative response",ไม่ใช่,,V,,,,,
bad,ไม่ดี,,Adj,,,,,
"not, not as assumed to be",ไม่ได้,,V,,,,,
"need not,  you don’t have to",ไม่ต้อง,,V,,,,,
"to not attach, can’t get connection",ไม่ติด,,V,,,,,
"wrong, incorrect",ไม่ถูก,,Adj,,,,,
"not in time, to be late",ไม่ทัน,,Adj,,,,,
no wonder!,ไม่น่า,,Adj,,,,,
not long,ไม่นาน,,Adv,,,,,
no wonder!,ไม่น่าล่ะ,,Adv,,,,,
ruler,ไม้บรรทัด,อัน,N,,,,,
"seldom, not often",ไม่บ่อย,,Adv,,,,,
houseplants,ไม้ประดับ,"ต้น, ดอก",N,,,,,
cannot,ไม่เป็น,,"V, Aux",,,,,
"it's nothing, not at all, don't mention it ",ไม่เป็นไร,,Adj,,,,,
not very,ไม่มากนัก - ไม่นัก,,Adv,,,,,
"to not have, don't have",ไม่มี,,V,,,,,
to be displeased,ไม่มีความสุข,,Adj,,,,,
nobody,ไม่มีใคร,,Adj,,,,,
nowhere,ไม่มีที่ไหน,,Adj,,,,,
have no strength,ไม่มีแรง,,Adj,,,,,
never (going to happen),ไม่มีวัน,,Adj,,,,,
nothing,ไม่มีอะไร,,Adj,,,,,
mile,ไมล์,,N,,,,,
not at all,ไม่เลย,,Adv,,,,,
vine,ไม้เลื้อย,ต้น,N,,,,,
"to  be busy, not free",ไม่ว่าง,,Adj,,,,,
"regardless of, no matter (what/who/where)",ไม่ว่าอะไร,,Adv,,,,,
to be unwell,ไม่สบาย,,Adj,,,,,
"to be upset, unhappy about something",ไม่สบายใจ,,Adj,,,,,
teak,ไม้สัก,แผ่น,N,,,,,
"to be unripe, not done",ไม่สุก,,Adj,,,,,
without (‘not put’),ไม่ใส่,,Adj,,,,,
to disagree,ไม่เห็นด้วย,,Adj,,,,,
"can't do it, unable to, is incapable of (lack of physical strength)",ไม่ไหว,,Adj,,,,,
"to lift, to raise",ยก,,V,,,,,
"to honor, praise",ยกย่อง,,V,,,,,
except,ยกเว้น,,Prep,,,,,
to tiptoe,ย่อง,,V,,,,,
"to return, come back, turn back",ย้อน,,V,,,,,
to be willing,ยอม,,Adj,,,,,
"to agree, accept (usually against one's wishes)",ยอมรับ,,V,,,,,
"permit, allow",ยอมให้,,V,,,,,
giant,ยักษ์,"ตน, คัว",N,,,,,
"still, not yet",ยัง,,Adv,,,,,
"how, in what way, how? (question word) (informal)",ยังไง ,,Adv,,,,,
however,ยังไงก็ตาม,,Conj,,,,,
for actions you haven’t done yet but intend to,"ยังไม่ได้ , ยังไม่ถึง ??",,Adv phrase,,,,,
"in what way, how?",ยังไร,,Adv phrase,,,,,
to wrinkle ,ยับ,,Adj,,,,,
"medicine, chemical compound",ยา,เม็ด,N,,,,,
grandmother (father's mother),ย่า,คน,N,,,,,
"to be hard, difficult, complicated",ยาก,,Adj,,,,,
"destitute, penniless, difficult",ยากจน,,Adj,,,,,
mosquito repellent,ยากันยุง,กระบอก,N,,,,,
birth control pills,ยาคุม,เม็ด,N,,,,,
"rubber, a tire",ยาง,แผ่น,N,,,,,
rubber eraser,ยางลบ,อัน,N,,,,,
"ointment, lotion",ยาทา,"ขวด, ตลับ",N,,,,,
"guard, watchman",ยาม,คน,N,,,,,
"pills, capsules",ยาเม็ด,เม็ด,N,,,,,
to relocate,ย้าย,,V,,,,,
"grandmother, your mother’s mother and women of that age",ยาย ,คน,N,,,,,
great grandmother (maternal) ,ยายทวด,คน,N,,,,,
move (in),ย้ายมาอยู่,,V,,,,,
to be long,ยาว,,Adj,,,,,
toothpaste,ยาสีฟัน,หลอด,N,,,,,
addictive drugs,ยาเสพติด,เม็ด,N,,,,,
tiger balm,ยาหม่อง,ตลับ,N,,,,,
lozenge,ยาอม,เม็ด,N,,,,,
salad,ยำสลัด,จาน,N,,,,,
"to shoot, fire",ยิง,,V,,,,,
"to be extreme, excessive",ยิ่ง,,Adj,,,,,
glad,ยินดี,,Adj,,,,,
to smile,ยิ้ม,,V,,,,,
two (used only for the twenties),ยี่,,N,,,,,
twenty (20),ยี่สิบ,,N,,,,,
twenty two (22),ยี่สิบสอง,,N,,,,,
twenty one (21),ยี่สิบเอ็ด,,N,,,,,
"brand, trade name",ยี่ห้อ,,N,,,,,
"to seize, capture, grasp",ยึด,,V,,,,,
to stand ,ยืน,,V,,,,,
"to maintain, confirm",ยืนยัน,,V,,,,,
to borrow,ยืม,,V,,,,,
mosquito,ยุง,ตัว,N,,,,,
busy,ยุ่ง,,Adj,,,,,
justice,ยุติธรรม,,N,,,,,
Europe ,ยุโรป ,,N,,,,,
"evening (4 p.m. - 6 p.m.), cold (things)",เย็น,,Adj,,,,,
"this afternoon, this evening (late)",เย็นนี้,,N,,,,,
Sunday evening,เย็นวันอาทิตย์,,N,,,,,
to sew,เย็บ,,V,,,,,
"Germany, German ",เยอรมัน ,,N,,,,,
"plenty, plentifully, to be a whole lot, a great deal",เยอะ,,Adj,,,,,
"plenty, plentifully, to be a whole lot, a great deal",เยอะแยะ,,Adj,,,,,
"to see, visit, to be the best, greatest",เยี่ยม,,V,,,,,
"to be terrible, to be in a bad way ",แย่,,Adj,,,,,
"to divide, separate, part",แยก,,V,,,,,
"car, general word for transportation",รถ,คัน,N,,,,,
express train,รถด่วน,ขบวน,N,,,,,
traffic jam,รถติด,คัน,Adj,,,,,
van,รถตู้,คัน,N,,,,,
"bus (inter-city), airconditioned bus (coach)",รถทัวร์,คัน,N,,,,,
taxi,รถแท็กซี่,คัน,N,,,,,
regular,รถธรรมดา,คัน,N,,,,,
bus,รถบัส,คัน,N,,,,,
ambulance,รถพยาบาล,คัน,N,,,,,
train,รถไฟ,ขบวน,N,,,,,
"MRT, subway",รถไฟใต้ดิน,ขบวน,N,,,,,
"BTS, skytrain",รถไฟฟ้า,ขบวน,N,,,,,
bus (regular),รถเมล์,คัน,N,,,,,
"car, automobile",รถยนต์,คัน,N,,,,,
air-conditioned bus,รถแอร์,คัน,N,,,,,
to combat,รบ,,V,,,,,
"to bother, to trouble (someone)",รบกวน,,V,,,,,
umbrella,ร่ม,"ด้าม, อัน",N,,,,,
"to be fast, rapid, quick",รวดเร็ว,,Adj,,,,,
"to compile, gather, collect",รวบรวม,,V,,,,,
"to include, combine, add, add up, sum up",รวม,,V,,,,,
"to share, join in, participate, to add, calculate, compute",ร่วม,,V,,,,,
"to cooperate, collaborate, work together",ร่วมมือ,,V,,,,,
"to be rich, wealthy",รวย,,Adj,,,,,
flavour,รส,รส,N,,,,,
flavour,รสชาติ,"เลข, เบอร์",N,,,,,
"area code, address and postal codes",รหัส,"เลข, เบอร์",N,,,,,
postal code,รหัสไปรษณีย์,,N,,,,,
to wait for,รอ,,V,,,,,
"to cry out, yell",ร้อง,,V,,,,,
shoes,รองเท้า,"คู่, ข้าง",N,,,,,
sandals,รองเท้าแตะ,"คู่, ข้าง",N,,,,,
to sing,ร้องเพลง,,V,,,,,
to petition,ร้องเรียน,,V,,,,,
"to cry, weep",ร้องไห้,,V,,,,,
hot (temperature),ร้อน,,Adj,,,,,
hot and muggy,ร้อนอบอ้าว,,Adj,,,,,
around,"รอบ, รอบๆ",,"Adj, Adv",,,,,
"scratch, mark, trail",รอย,,N,,,,,
hundred (100),ร้อย,,N,,,,,
percent,ร้อยละ,,N,,,,,
bell,ระฆัง," ใบ, อัน",N,,,,,
"to restrain, suppress, hold back",ระงับ,,V,,,,,
"class, grade, level, degree, caste, row, rank",ระดับ,,N,,,,,
"system, method",ระบบ,,N,,,,,
regime,ระบอบ,,N,,,,,
"to specify, identify",ระบุ,,V,,,,,
bomb,ระเบิด,ลุก,N,,,,,
corridor,ระเบียง,ที่,N,,,,,
"rule, order, regulation",ระเบียบ,,N,,,,,
"phase, space; in the time of, in the period of",ระยะ,,N,,,,,
"period of time, session",ระยะเวลา,,N,,,,,
to recollect,ระลึก,,V,,,,,
to be careful,ระวัง,,Adj,,,,,
"between, in the middle of, the middle, among",ระหว่าง,,"Conj, Prep",,,,,
to love ,รัก,,V,,,,,
"to take care of, treat",รักษา,,V,,,,,
"nest, hive",รัง,"รัง, ที่",N,,,,,
bird's nest,รังนก,รัง,N,,,,,
"state, nation",รัฐ,,N,,,,,
constitution,รัฐธรรมนูญ,ฉบับ,N,,,,,
government,รัฐบาล,คณะ,N,,,,,
minister (head of a ministry),รัฐมนตรี,คน,N,,,,,
"to receive, accept; take on, eat (something)",รับ,,V,,,,,
to guarantee,รับประกัน,,V,,,,,
to eat (formal),รับประทาน,,V,,,,,
"to be responsible, accountable ",รับผิดชอบ,,Adj,,,,,
to leak ,รั่ว,,V,,,,,
Russia,รัสเซีย,,N,,,,,
price,ราคา,,N,,,,,
"draft, proposal",ร่าง,,N,,,,,
body parts (elegant),ร่างกาย,ร่าง,N,,,,,
"prize, award, trophy",รางวัล,ชิ้น,N,,,,,
"government service, civil service",ราชการ,คน,N,,,,,
"shop, store",ร้าน,"ร้าน, แห่ง, ที่",N,,,,,
coffee shop,ร้านกาแฟ,ร้าน,N,,,,,
"shop, store",ร้านขายของ ,ร้าน,N,,,,,
pharmacy,ร้านขายยา ,ร้าน,N,,,,,
bookstore,ร้านขายหนังสือ,ร้าน,N,,,,,
restaurant,ร้านขายอาหาร,ร้าน,N,,,,,
barber shop,ร้านตัดผม , ร้าน,N,,,,,
"tailor, dressmaker",ร้านตัดเสื้อ,ร้าน,N,,,,,
beauty shop,ร้านเสริมสวย,ร้าน,N,,,,,
book store,ร้านหนังสือ,ร้าน,N,,,,,
restaurant,ร้านอาหาร,แห่ง,N,,,,,
list of items,รายการ,รายการ,N,,,,,
to report,รายงาน,ฉบับ,V,,,,,
"income, revenue",รายได้,จำนวน,N,,,,,
cheerful,ร่าเริง,,Adj,,,,,
"around, about, approximately",ราว,,Adv,,,,,
zodiac,ราศี,ราศี,N,,,,,
"to recall, recollect, bring back to one's mind",รำลึก,,V,,,,,
"edge, rim, bank",ริม,,N,,,,,
lips,ริมฝีปาก,รูป,N,,,,,
to iron (cloth) ,รีด,,V,,,,,
"hurry, to be urgent",รีบ,,Adj,,,,,
"or, question words",รึ,,Conj,,,,,
to raze,รื้อ,,V,,,,,
"age, generation, period; classifier for age, period of time or generation",รุ่น,,N,,,,,
older friend,รุ่นพี่,,N,,,,,
serious,รุนแรง,,Adj,,,,,
to know (something),รู้,,V,,,,,
to know (someone),รู้จัก,,V,,,,,
picture,รูป,"รูป, ใบ",N,,,,,
photograph,รูปถ่าย,รูป,N,,,,,
format,รูปแบบ,"ชนิด, อย่าง",N,,,,,
picture,รูปภาพ,รูป,N,,,,,
"to understand, see, know ",รู้เรื่อง,,V,,,,,
to know that,รู้ว่า,,V,,,,,
to feel,รู้สึก,,V,,,,,
"quickly, fast","เร็ว, เร็วๆ",,"Adj, Adv",,,,,
soon,เร็วๆนี้,,Adv,,,,,
"we, our, us","เรา, พวกเรา",คน,Pronoun,,,,,
all of us together,เราทั้งหมด,คน,Pronoun,,,,,
to start ,เริ่ม,,V,,,,,
to call,เรียก,,V,,,,,
to be called ,เรียกว่า,,V,,,,,
"to study, learn",เรียน,,V,,,,,
"to learn, study",เรียนรู้,,V,,,,,
"smooth, even, plain",เรียบ,,Adj,,,,,
"to be in good condition, all set, to be ready",เรียบร้อย,,Adj,,,,,
"boat, ship",เรือ,ลำ,N,,,,,
"story (about), about; classifier for story ",เรื่อง,เรื่อง,N,,,,,
house (used in certain combinations only),เรือน,"เรื่อง, หลัง",N,,,,,
"so so (as a response to a greeting), continuously, keeps going on",เรื่อยๆ,,"Adj, Adv",,,,,
long-tailed boat,เรือหางยาว,"ลำ, คัน",N,,,,,
first,แรก,,Adv,,,,,
"strength, power, energy, might, strong (for liquor)",แรง,,N,,,,,
labor (n),แรงงาน,,N,,,,,
watt (measure of electricity),แรงเทียน,,N,,,,,
rhino,แรด,ตัว,N,,,,,
"RAM, computer memory (loanword)",แรม,,N,,,,,
disease,โรค,ตัว,N,,,,,
to have dysentery ,โรคบิด,,N,,,,,
